Period,Sector,ABN,Institution Name,Service Channel Type,State,sa4_code,sa3_code,sa2_code,suburb,Lat,Lon,ra_code,Number
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,TAS,Hobart,Hobart - North East,Bellerive - Rosny,Rosny Park,-42.86625,147.36621,Inner Regional Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,TAS,Hobart,Hobart - North West,Glenorchy,Glenorchy (Tas.),-42.83238,147.27264,Inner Regional Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,TAS,Hobart,Hobart - South and West,Taroona - Bonnet Hill,Taroona,-42.93458,147.35454,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,TAS,Hobart,Hobart Inner,Hobart,Hobart,-42.88026,147.32747,Inner Regional Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,TAS,Hobart,Hobart Inner,Sandy Bay,Sandy Bay,-42.89495,147.32802,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,VIC,Hume,Upper Goulburn Valley,Mansfield (Vic.),Mansfield (Vic.),-37.05193,146.08938,Outer Regional Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,VIC,Hume,Wangaratta - Benalla,Benalla,Benalla,-36.55177,145.98365,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,VIC,Hume,Wangaratta - Benalla,Wangaratta,Wangaratta (Vic.),-36.35424,146.32464,Inner Regional Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,VIC,Hume,Wodonga - Alpine,Myrtleford,Myrtleford,-36.56215,146.72591,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,VIC,Hume,Wodonga - Alpine,Wodonga,Wodonga,-36.12048,146.88585,Inner Regional Australia,3
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NSW,Hunter Valley exc Newcastle,Lower Hunter,Singleton,Singleton (NSW),-32.56495,151.16728,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NSW,Hunter Valley exc Newcastle,Maitland,Maitland,Maitland (NSW),-32.73243,151.55423,Major Cities of Australia,1
