Period,Service Channel Type,State,sa4_code,sa3_code,sa2_code,Suburb,Lat,Lon,ra_code
30/06/2024,Bank@Post,SA,Adelaide - South,Onkaparinga,Aberfoyle Park,Aberfoyle Park,-35.07546758,138.5928029,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Onkaparinga,Aldinga,Sellicks Beach,-35.330113,138.448516,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Onkaparinga,Aldinga,Aldinga Beach,-35.27691831,138.4608602,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Onkaparinga,Christie Downs,Noarlunga Centre,-35.14117982,138.4960424,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Onkaparinga,Christies Beach,Port Noarlunga,-35.148336,138.472005,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Onkaparinga,Christies Beach,Christies Beach,-35.13875476,138.4804895,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Onkaparinga,Christies Beach,Christies Beach,-35.131081,138.481872,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Onkaparinga,Christies Beach,O'Sullivan Beach,-35.1191629,138.4749025,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Onkaparinga,Clarendon,Kangarilla,-35.14870548,138.6606463,Inner Regional Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Onkaparinga,Clarendon,Clarendon (SA),-35.108792,138.629124,Inner Regional Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Onkaparinga,Flagstaff Hill,Flagstaff Hill,-35.0524816,138.587984,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Onkaparinga,Hackham - Onkaparinga Hills,Hackham,-35.13924273,138.5326252,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Onkaparinga,Happy Valley,Happy Valley (SA),-35.08313837,138.5621174,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Onkaparinga,Happy Valley,O'Halloran Hill,-35.06830728,138.5553807,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Onkaparinga,McLaren Vale,McLaren Vale,-35.21844656,138.5442071,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Onkaparinga,Morphett Vale - East,Morphett Vale,-35.11339391,138.5461599,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Onkaparinga,Morphett Vale - West,Morphett Vale,-35.10661075,138.520947,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Onkaparinga,Reynella,Old Reynella,-35.08921323,138.5408857,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Onkaparinga,Seaford - Seaford Meadows,Seaford (SA),-35.18907447,138.4791122,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Onkaparinga,Willunga,Willunga,-35.270796,138.55467,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Charles Sturt,Beverley,Woodville South,-34.88099517,138.5346141,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Charles Sturt,Flinders Park,Flinders Park,-34.9051,138.546049,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Charles Sturt,Flinders Park,Findon,-34.90481677,138.5312495,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Charles Sturt,Henley Beach,Henley Beach South,-34.925714,138.500896,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Charles Sturt,Henley Beach,Fulham Gardens,-34.9138304,138.5144205,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Charles Sturt,Henley Beach,Henley Beach,-34.90754563,138.5051142,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Charles Sturt,Hindmarsh - Brompton,Welland,-34.896913,138.557483,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Charles Sturt,Hindmarsh - Brompton,Brompton,-34.89449089,138.5795581,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Charles Sturt,Royal Park - Hendon - Albert Park,Royal Park,-34.871426,138.511944,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Charles Sturt,Seaton - Grange,Grange (SA),-34.90201,138.490934,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Charles Sturt,Seaton - Grange,Seaton (SA),-34.88318056,138.5136048,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Charles Sturt,West Lakes,West Lakes,-34.87943359,138.491401,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Charles Sturt,West Lakes,West Lakes Shore,-34.86064993,138.4890865,Major Cities of Australia
